0:00	a centered cartoon nose with two clearly separated nostrils, a giant bold black ALL CAPS title above reading "WHY TWO NOSTRILS?", two yellow question marks pointing toward the openings, plain white background
0:03	a friendly stick figure with a round white head and blue T-shirt closing its mouth and taking one slow breath through its nose, soft blue airflow arrows entering both nostrils, plain white background
0:07	the same blue-shirt stick figure pressing the left nostril shut with one finger and then switching to the right, a simple two-panel comparison labeled "LEFT" and "RIGHT", pale sky-blue background
0:12	a close-up front view of a cartoon nose, the left nostril wide with a thick blue airflow arrow and the right nostril narrow with a thin arrow, bold marker label "ONE SIDE IS STRONGER", plain white background
0:19	two anthropomorphic nostril workers inside a nose, one frantically operating an airflow lever while the other relaxes in a tiny deck chair, playful visual metaphor, pale yellow background
0:29	the blue-shirt stick figure checking boxes beside a crossed-out snowflake labeled "COLD", crossed-out flower pollen labeled "ALLERGY", and green check beside "NORMAL", plain white background
0:37	two cartoon nostrils passing a small work baton from left to right, bold black marker text "TAKING TURNS", bright white background
0:42	a clean nose cutaway with the left nasal passage narrowing as the right passage widens, curved arrows showing a slow exchange, flat pale-blue anatomical background
0:50	a three-part montage of the blue-shirt figure typing at a desk, eating at a table, and sleeping in bed while tiny left-right arrows keep switching above the nose, white background with simple colored panels
0:59	the blue-shirt figure suddenly discovering the trick by blocking one nostril, eyes wide, a yellow light bulb and bold red text "WAIT... WHAT?", plain white background
1:05	a huge black question mark rising behind a tiny cartoon nose on a pedestal, dramatic educational reveal, solid pale yellow background
1:10	a humorous face with one mouth and two nostrils, numbered arrows reading "1 MOUTH" and "2 NOSTRILS", plain white background
1:16	a simplified front-view medical doodle showing both nasal passages merging into one throat and one windpipe before reaching two lungs, sky-blue background
1:23	a cartoon building shaped like a human head with two small entrance doors labeled "NOSTRILS" leading into one shared hallway, plain white background
1:29	a bold center wall labeled "SEPTUM" dividing two nasal tunnels, a green evolution arrow pointing toward the wall, pale tan background
1:33	a close-up nostril blocked by a mud clump, mucus blob, seed, tiny insect, and red swelling icons arranged like possible hazards, plain white background
1:42	a split nose where the left opening is blocked by a seed but the right opening still carries a strong blue airflow arrow, green check mark labeled "BACKUP", white background
1:50	two friendly nostril workers in matching uniforms punching alternating time cards beneath bold text "SHIFT WORK", pale blue background
1:54	a simple cartoon face peeling open like a hinged diagram to reveal the surprising nasal cavities inside, the blue-shirt figure looking amazed, plain white background
2:02	a symmetrical nose cross-section with a thick central divider highlighted red and labeled "SEPTUM", two separate passages clearly visible, pale sky-blue background
2:09	a winding maze inside both nasal passages made from curled shelves labeled "TURBINATES", tiny blue air arrows weaving through, plain white background
2:18	a magnified doodle of soft turbinate tissue filled with many red and blue blood vessels, yellow arrow labeled "BLOOD-RICH TISSUE", pale pink background
2:25	two sponge-like turbinate shapes, one swelling large with red blood droplets and one shrinking small, clear before-and-after arrows, white background
2:33	a nasal cross-section with a narrow crowded left tunnel and wide open right tunnel, thin versus thick blue airflow arrows, bold label "UNEQUAL FLOW", pale blue background
2:41	a large doodle hourglass between left and right nostril icons, curved arrows showing the dominant side changing after hours, solid tan background
2:48	a centered nose diagram encircled by two rotating arrows, huge bold black ALL CAPS text "THE NASAL CYCLE", plain white background
2:51	a nineteenth-century doctor with round spectacles sketching two nostrils in an old medical notebook, date card reading "1895", warm beige background
3:00	a lineup of simple mammals including human, dog, rabbit, rat, and cat, each with alternating blue arrows at the nostrils, marker text "MAMMALS DO IT", white background
3:10	several clocks showing different durations from minutes to hours around a switching nose icon, bold label "TIMING VARIES", pale yellow background
3:18	the blue-shirt figure sleeping on the left side, mattress tilting slightly, the upper right nostril glowing green and carrying more airflow, dark navy night background with flat yellow stars
3:26	the blue-shirt figure running on a treadmill while both nostrils open wide with two strong blue arrows, red marker label "EXERCISE", pale green background
3:31	two airflow gauges connected like balancing scales, left dropping as right rises while the total gauge remains level, white background
3:40	a cartoon brain receiving two blue nasal streams and merging them into one smooth arrow labeled "BREATHING", pale sky-blue background
3:49	the blue-shirt figure repeating the finger test beside a clock several hours later, the opposite nostril now highlighted green, plain white background
3:54	a confused stick figure staring at two airways where one is deliberately half closed, jagged speech bubble reading "WHY BUILD THIS?", bright white background
4:01	a plain straight pipe crossed out in red beside a complex colorful nose cutaway with a green check, bold text "NOT JUST A PIPE", pale yellow background
4:09	a nose presented as three tiny stations in one: blue climate-control fan, security checkpoint guard, and bubbling chemistry lab, clean white background
4:16	a four-corner montage of freezing snow, cracked dry desert, dusty brown cloud, and dark smoke all aiming toward a central nose, flat colors, white dividers
4:25	a pair of delicate pink cartoon lungs hiding behind a small shield while a blast of cold dusty air approaches, bold label "FRAGILE LUNGS", pale blue background
4:33	a cutaway nose slowing a wild blue airflow through curved turbinates, red warmth waves, water droplets, and black dust particles caught in mucus, white background
4:42	a microscopic doodle view of rows of tiny cilia sweeping trapped dust particles along a mucus conveyor belt, bold arrow labeled "CLEAR IT OUT", pale teal background
4:51	a before-and-after airflow frame, icy dry blue air entering the nose and warm humid air with water droplets exiting toward the lungs, white background
5:00	a wet cartoon machine made of nasal tissue displaying a blinking wrench icon and bold red text "MAINTENANCE NEEDED", pale yellow background
5:03	two nasal passages shown as work lanes, one handling a powerful cold blue stream while the other rests under a warm blanket icon, clean white background
5:13	the quieter nasal passage restoring blue water droplets, sweeping mucus, and removing dust while a circular recharge meter fills green, pale teal background
5:24	two janitor stick figures at a building that never closes, one holding the entrance open while the other mops an empty lane, then curved swap arrows, white background
5:35	a scientist stick figure admiring a neat nose-cycle diagram with a green check and speech bubble "ELEGANT", pale blue background
5:43	five competing hypothesis cards surrounding a nose labeled "WARM", "MOISTURE", "CLEARANCE", "DEFENSE", and "SMELL", giant question mark in center, white background
5:52	a Swiss-army-knife-style cartoon nose with multiple fold-out tools representing several biological advantages, bold text "MORE THAN ONE JOB", orange background
6:00	a large glowing scent spiral rising from coffee toward two nostrils, bold red marker text "THE STRANGEST ADVANTAGE", plain white background
6:03	two nostrils holding supposedly identical picture cards of a flower scent, the blue-shirt figure assuming they match, pale yellow background
6:10	the two picture cards flipping to reveal slightly different molecule patterns, bold text "EACH SIDE SMELLS DIFFERENTLY", bright white background
6:17	a close-up nose with one thick fast blue arrow and one thin slow blue arrow, giant yellow label "AIRFLOW", plain white background
6:20	a cloud of many differently shaped colorful odor molecules rather than one generic smell blob, marker text "A MIXTURE", pale blue background
6:29	a split-screen nasal tunnel, fast airflow carrying some molecules deep while slow airflow catches others near the front, white background
6:38	two receptor maps inside the nose lighting up in different colored patterns from the same odor cloud, pale teal scientific-diagram background
6:43	a rotating nasal-cycle dial changing one passage to high flow and the other to low flow, two molecule groups entering separate lanes, white background
6:52	two perfume bottles labeled "A" and "B", scent A glowing stronger beside the high-flow nostril and scent B glowing stronger beside the low-flow nostril, pale yellow background
7:02	a narrow nostril character looking discouraged until a green badge appears reading "NOT WORSE", plain white background
7:08	two nostrils displaying different colorful chemical landscape paintings, yellow arrow label "DIFFERENT PICTURE", pale blue background
7:10	a busy cartoon kitchen containing coffee, toasted bread, fruit, soap, and a tiny wisp of smoke, all sending colored scent ribbons toward a face, warm cream background
7:19	a nose close-up where one nostril samples scent ribbons quickly and the other pulls them slowly across receptors, clear speed-line contrast, white background
7:28	a cartoon brain receiving two slightly different scent reports and combining them into one rich kitchen image, bold label "ONE PERCEPTION", pale sky-blue background
7:38	a blue-shirt figure shrugging because it cannot consciously tell which nostril detected which smell, two nearly identical question bubbles, white background
